timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746400974.540616968,51.91%,27.1663%,0%,1%
1746401005.654744892,2.69%,23.4846%,0%,1%
1746401036.731632868,59.74%,27.2823%,0%,1%
1746401067.838345103,3.16%,27.4142%,0%,1%
1746401098.914884214,3.13%,27.22%,0%,1%
1746401129.993162066,3.00%,23.2917%,6%,1%
1746401161.081278512,31.70%,26.6715%,0%,1%
1746401192.162926977,37.66%,27.3669%,0%,1%
1746401223.261971079,57.89%,27.2822%,0%,1%
1746401254.364726302,10.18%,27.2107%,0%,1%
1746401285.450288397,3.19%,23.5111%,0%,1%
1746401316.537247382,3.12%,26.7533%,0%,1%
1746401347.611595313,18.76%,27.3349%,2%,1%
1746401378.726150609,27.44%,27.2163%,0%,1%
1746401409.835709613,3.13%,23.3059%,0%,1%
Total duration: 11503s (03:11:43)
